date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:53:42	0/-1	---M--	302	error ('')			http://www.lpu.in/international/pick-up-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/pick-up-services.2b6.delayed	(from https://www.lpu.in/international/summer_school/int_faq.php)
16:53:42	0/-1	---M--	302	error ('')			https://www.lpu.in/international/pick-up-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/pick-up-services.2b7.delayed	(from https://www.lpu.in/international/summer_school/int_faq.php)
16:53:42	122749/122749	---M--	200	added ('OK')	image/jpeg	etag:%226a53de14ecd31:0%22	https://www.lpu.in/international/summer_school/gallery-imgs/45.jpg	C:/My%20Web%20Sites/lpu/www.lpu.in/international/summer_school/gallery-imgs/45.jpg	(from https://www.lpu.in/international/summer_school/int_gallery.php)
16:53:42	0/-1	---M--	302	error ('')			https://www.lpu.in/international/summer_school/css/international-custom.css	C:/My%20Web%20Sites/lpu/www.lpu.in/international/summer_school/css/international-custom.2b8.delayed	(from https://www.lpu.in/international/summer_school/int_contact.php)
16:53:42	0/-1	---M--	302	error ('')			http://www.lpu.in/international/pick-up-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/pick-up-services.2b9.delayed	(from https://www.lpu.in/international/summer_school/int_contact.php)
16:53:42	0/-1	---M--	302	error ('')			https://www.lpu.in/international/pick-up-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/pick-up-services.2ba.delayed	(from https://www.lpu.in/international/summer_school/int_contact.php)
16:53:42	0/-1	---M--	302	error ('')			http://www.lpu.in/international/pick-up-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/pick-up-services.2bb.delayed	(from https://www.lpu.in/international/pre_arrival.php)
16:53:42	0/-1	---M--	302	error ('')			https://www.lpu.in/international/pick-up-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/pick-up-services.2bc.delayed	(from https://www.lpu.in/international/pre_arrival.php)
16:53:43	0/-1	---M--	302	error ('')			http://www.lpu.in/international/pick-up-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/pick-up-services.2bd.delayed	(from https://www.lpu.in/international/post_arrival.php)
16:53:43	0/-1	---M--	302	error ('')			https://www.lpu.in/international/pick-up-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/pick-up-services.2be.delayed	(from https://www.lpu.in/international/post_arrival.php)
16:53:43	128283/128283	---M--	200	added ('OK')	image/jpeg	etag:%22af6f87e14ecd31:0%22	https://www.lpu.in/international/summer_school/gallery-imgs/47.jpg	C:/My%20Web%20Sites/lpu/www.lpu.in/international/summer_school/gallery-imgs/47.jpg	(from https://www.lpu.in/international/summer_school/int_gallery.php)
16:53:43	0/-1	---M--	302	error ('')			http://www.lpu.in/international/pick-up-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/pick-up-services.2bf.delayed	(from https://www.lpu.in/international/after_you_graduate.php)
16:53:43	0/-1	---M--	302	error ('')			https://www.lpu.in/international/pick-up-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/pick-up-services.2c0.delayed	(from https://www.lpu.in/international/after_you_graduate.php)
16:53:44	80997/80997	---M-Z	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202019%2011:24:20%20GMT	https://www.lpu.in/international/indian_work_permit.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/indian_work_permit.html	(from https://www.lpu.in/international/after_you_graduate.php)
16:53:44	0/-1	---M--	302	error ('')			http://www.lpu.in/international/pick-up-services.php	C:/My%20Web%20Sites/lpu/www.lpu.in/international/pick-up-services.2c2.delayed	(from https://www.lpu.in/international/returning_back.php)
